_index,fecha,Edad,Genero,Grupo étnico,Víctima del conflicto,Tipo de discapacidad,¿Cuenta con SISBEN?,Hora de Apertura del Comercio,Hora Cierre del Comercio,¿Cuántos trabajadores tiene?,¿Cuántos trabajadores extranjeros tiene?,¿Tiene registro ante la DIAN (RUT)?,Hora de recepción de mercancía,Inversión en mercancía,Tipo de producto/servicio,Afiliación a EPS,Medio de transporte,Nivel de escolaridad,seguridad social sin salud,Manejo de basuras,Estado de Registro Cámara,Tipo de contrato
10,08/22/2021 12:00:00 AM,54.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,21:00:00.000-05:00,13:00:00.000-05:00,0,0.0,False,21:00:00.000-05:00,500000.0,Productos agrícolas,Subsidiado,No se desplaza,Primaria completa,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
11,08/22/2021 12:00:00 AM,29.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,16:00:00.000-05:00,08:00:00.000-05:00,1,0.0,False,16:37:00.000-05:00,500000.0,Productos agrícolas,Subsidiado,Mototaxi,Bachillerato completo,No afiliado,La recoge el servicio de aseo,No tiene registro,Verbal
12,08/22/2021 12:00:00 AM,29.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,NO,,08:00:00.000-05:00,4,0.0,False,05:00:00.000-05:00,800000.0,Productos agrícolas,Subsidiado,Taxi Colectivo,Bachillerato completo,No afiliado,La recoge el servicio de aseo,No tiene registro,Verbal
13,08/22/2021 12:00:00 AM,51.0,Masculino,Ninguno de los anteriores,1,Sin discapacidad,SI,19:07:00.000-05:00,07:00:00.000-05:00,2,0.0,False,08:00:00.000-05:00,4000000.0,Productos agrícolas,Subsidiado,Mototaxi,Primaria completa,No afiliado,La recoge el servicio de aseo,No tiene registro,Verbal
14,08/22/2021 12:00:00 AM,21.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,NO,20:00:00.000-05:00,11:00:00.000-05:00,1,0.0,False,19:00:00.000-05:00,800000.0,Productos agrícolas,Subsidiado,A pie,Técnico o tecnológico,No afiliado,La recoge el servicio de aseo,No tiene registro,Verbal
15,08/22/2021 12:00:00 AM,30.0,Masculino,Ninguno de los anteriores,1,Sin discapacidad,SI,18:00:00.000-05:00,08:00:00.000-05:00,1,0.0,,20:00:00.000-05:00,6000000.0,Productos agrícolas,Contributivo,Bus/Buseta intermunicipal,Bachillerato completo,Afiliado,La recoge el servicio de aseo,Tiene registro y está actualizado,Verbal
16,08/22/2021 12:00:00 AM,66.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,20:00:00.000-05:00,08:00:00.000-05:00,0,0.0,False,08:00:00.000-05:00,420000.0,Productos agrícolas,Subsidiado,A pie,NS/NR,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
17,08/22/2021 12:00:00 AM,25.0,Femenino,Ninguno de los anteriores,0,Sin discapacidad,NO,18:00:00.000-05:00,12:00:00.000-05:00,0,0.0,False,10:00:00.000-05:00,15000.0,Bebidas preparadas,No afiliado,Mototaxi,Profesional,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
18,08/22/2021 12:00:00 AM,51.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,NO,18:00:00.000-05:00,07:00:00.000-05:00,0,0.0,False,10:00:00.000-05:00,15000.0,Ninguno de los anteriores,No afiliado,Mototaxi,Primaria incompleta,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
19,08/22/2021 12:00:00 AM,49.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,NO,16:00:00.000-05:00,07:00:00.000-05:00,0,0.0,False,16:00:00.000-05:00,1200000.0,Ninguno de los anteriores,Subsidiado,Mototaxi,Técnico o tecnológico,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
20,08/22/2021 12:00:00 AM,44.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,18:00:00.000-05:00,10:00:00.000-05:00,2,0.0,False,07:00:00.000-05:00,1000000.0,Productos agrícolas,Subsidiado,Automóvil propio,Básica completa,No afiliado,La recoge el servicio de aseo,No tiene registro,Verbal
21,08/22/2021 12:00:00 AM,69.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,NO,17:00:00.000-05:00,08:00:00.000-05:00,2,0.0,False,05:00:00.000-05:00,1000000.0,Ninguno de los anteriores,No afiliado,Mototaxi,Primaria completa,No afiliado,La recoge el servicio de aseo,No tiene registro,Verbal
22,08/22/2021 12:00:00 AM,52.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,03:30:00.000-05:00,04:00:00.000-05:00,0,0.0,False,08:00:00.000-05:00,50000.0,Ninguno de los anteriores,Subsidiado,Mototaxi,Primaria incompleta,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
24,08/22/2021 12:00:00 AM,22.0,Femenino,Ninguno de los anteriores,0,Sin discapacidad,SI,19:00:00.000-05:00,07:00:00.000-05:00,2,0.0,False,19:00:00.000-05:00,1300000.0,Ninguno de los anteriores,Subsidiado,Moto propia,Técnico o tecnológico,No afiliado,La recoge el servicio de aseo,No tiene registro,Verbal
25,08/22/2021 12:00:00 AM,47.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,16:00:00.000-05:00,05:00:00.000-05:00,1,0.0,False,10:00:00.000-05:00,70000.0,Ninguno de los anteriores,No afiliado,Bus/Buseta urbana,Básica completa,No afiliado,La recoge el servicio de aseo,No tiene registro,Verbal
26,08/22/2021 12:00:00 AM,37.0,Masculino,Afrodescendiente o negro,0,Sin discapacidad,SI,19:00:00.000-05:00,07:00:00.000-05:00,2,0.0,False,20:00:00.000-05:00,400000.0,Productos agrícolas,Subsidiado,Mototaxi,Básica completa,No afiliado,La recoge el servicio de aseo,No tiene registro,Verbal
27,08/22/2021 12:00:00 AM,37.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,16:00:00.000-05:00,07:00:00.000-05:00,0,0.0,False,16:00:00.000-05:00,250000.0,Productos agrícolas,Subsidiado,Bus/Buseta intermunicipal,Primaria incompleta,No afiliado,La regala para los animales,No tiene registro,NS/NR
28,08/22/2021 12:00:00 AM,47.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,NO,15:00:00.000-05:00,10:00:00.000-05:00,0,0.0,False,16:00:00.000-05:00,1800000.0,Productos agrícolas,Subsidiado,Bus/Buseta intermunicipal,Primaria incompleta,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
29,08/22/2021 12:00:00 AM,39.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,16:30:00.000-05:00,02:00:00.000-05:00,0,0.0,False,17:00:00.000-05:00,150000.0,Productos agrícolas,Subsidiado,Taxi Colectivo,Básica completa,No afiliado,La regala,No tiene registro,NS/NR
30,08/22/2021 12:00:00 AM,50.0,Femenino,Ninguno de los anteriores,0,Sin discapacidad,NO,19:00:00.000-05:00,08:00:00.000-05:00,3,0.0,,20:00:00.000-05:00,4000000.0,Productos agrícolas,Contributivo,Automóvil propio,Bachillerato completo,No afiliado,La recoge el servicio de aseo,No tiene registro,Verbal
67,08/22/2021 12:00:00 AM,38.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,16:00:00.000-05:00,05:00:00.000-05:00,0,0.0,False,,4000.0,Solo ofrezco servicios.,Subsidiado,Bus/Buseta intermunicipal,Primaria completa,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
31,08/22/2021 12:00:00 AM,38.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,14:00:00.000-05:00,10:00:00.000-05:00,0,0.0,False,16:00:00.000-05:00,850000.0,Productos agrícolas,Subsidiado,Mototaxi,Bachillerato completo,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
32,08/22/2021 12:00:00 AM,45.0,Masculino,Indígena,0,Sin discapacidad,SI,18:00:00.000-05:00,09:00:00.000-05:00,0,0.0,False,09:00:00.000-05:00,250000.0,Ninguno de los anteriores,Subsidiado,A pie,Primaria completa,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
33,08/22/2021 12:00:00 AM,65.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,NO,10:00:00.000-05:00,07:00:00.000-05:00,0,0.0,False,,5000.0,Solo ofrezco servicios.,Subsidiado,Taxi Colectivo,Primaria incompleta,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
34,08/22/2021 12:00:00 AM,59.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,18:00:00.000-05:00,07:00:00.000-05:00,0,0.0,False,,4000.0,Solo ofrezco servicios.,Subsidiado,Bus/Buseta urbana,Primaria incompleta,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
35,08/22/2021 12:00:00 AM,27.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,NO,16:30:00.000-05:00,07:02:00.000-05:00,0,0.0,False,16:30:00.000-05:00,300000.0,Productos agrícolas,No afiliado,Bus/Buseta urbana,Bachillerato completo,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
36,08/22/2021 12:00:00 AM,27.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,NO,19:00:00.000-05:00,08:00:00.000-05:00,0,0.0,False,,0.0,Solo ofrezco servicios.,No afiliado,Mototaxi,Primaria completa,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
37,08/22/2021 12:00:00 AM,32.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,16:00:00.000-05:00,07:00:00.000-05:00,0,0.0,False,15:30:00.000-05:00,1400000.0,Productos agrícolas,Subsidiado,Mototaxi,Básica completa,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
990,07/30/2021 12:00:00 AM,48.0,Femenino,Ninguno de los anteriores,0,Sin discapacidad,SI,05:29:00.000-05:00,07:29:00.000-05:00,4,0.0,False,07:30:00.000-05:00,300.0,Otro,Subsidiado,Taxi Colectivo,Bachillerato completo,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
38,08/22/2021 12:00:00 AM,19.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,19:00:00.000-05:00,06:00:00.000-05:00,0,0.0,False,19:00:00.000-05:00,400000.0,Productos agrícolas,Subsidiado,Moto propia,Bachillerato completo,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
39,08/22/2021 12:00:00 AM,35.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,17:00:00.000-05:00,06:34:00.000-05:00,2,0.0,False,21:00:00.000-05:00,5000000.0,Productos agrícolas,Subsidiado,Bus/Buseta urbana,Básica completa,No afiliado,La recoge el servicio de aseo,No tiene registro,Verbal
40,08/22/2021 12:00:00 AM,25.0,Femenino,Ninguno de los anteriores,0,Sin discapacidad,NO,18:00:00.000-05:00,09:00:00.000-05:00,0,0.0,False,18:00:00.000-05:00,200000.0,Solo ofrezco servicios.,Subsidiado,A pie,Bachillerato completo,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
41,08/22/2021 12:00:00 AM,48.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,20:00:00.000-05:00,11:00:00.000-05:00,0,0.0,False,23:00:00.000-05:00,2000000.0,Productos agrícolas,Contributivo,Taxi Colectivo,Técnico o tecnológico,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
43,08/22/2021 12:00:00 AM,40.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,18:00:00.000-05:00,09:00:00.000-05:00,0,0.0,False,18:00:00.000-05:00,800000.0,Productos agrícolas,Subsidiado,Taxi Colectivo,Bachillerato completo,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
44,08/22/2021 12:00:00 AM,50.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,23:00:00.000-05:00,10:00:00.000-05:00,0,0.0,False,23:00:00.000-05:00,240000.0,Productos agrícolas,Subsidiado,Bus/Buseta intermunicipal,Primaria incompleta,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
45,08/22/2021 12:00:00 AM,39.0,Femenino,Ninguno de los anteriores,0,Sin discapacidad,SI,22:00:00.000-05:00,04:00:00.000-05:00,0,0.0,False,20:00:00.000-05:00,60000.0,Carnes,Subsidiado,Taxi Colectivo,NS/NR,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
46,08/22/2021 12:00:00 AM,35.0,Femenino,Ninguno de los anteriores,0,Sin discapacidad,SI,18:00:00.000-05:00,06:00:00.000-05:00,1,0.0,False,19:00:00.000-05:00,600000.0,Productos agrícolas,Contributivo,Moto propia,Técnico o tecnológico,No afiliado,La recoge el servicio de aseo,No tiene registro,Verbal
47,08/22/2021 12:00:00 AM,57.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,19:00:00.000-05:00,11:00:00.000-05:00,0,0.0,False,19:04:00.000-05:00,2000000.0,Productos agrícolas,Subsidiado,Jeep Colectivo,Básica completa,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
48,08/22/2021 12:00:00 AM,31.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,19:00:00.000-05:00,11:00:00.000-05:00,1,0.0,False,19:00:00.000-05:00,800000.0,Productos agrícolas,Subsidiado,Moto propia,Bachillerato completo,No afiliado,La recoge el servicio de aseo,No tiene registro,Verbal
49,08/22/2021 12:00:00 AM,62.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,16:00:00.000-05:00,05:00:00.000-05:00,0,0.0,False,09:00:00.000-05:00,300000.0,Productos de tabaco,Subsidiado,Mototaxi,NS/NR,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
50,08/22/2021 12:00:00 AM,66.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,16:00:00.000-05:00,10:00:00.000-05:00,0,0.0,False,19:00:00.000-05:00,300000.0,Productos agrícolas,Subsidiado,Bus/Buseta urbana,Básica completa,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
51,08/22/2021 12:00:00 AM,26.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,21:00:00.000-05:00,09:30:00.000-05:00,5,2.0,,20:30:00.000-05:00,16000000.0,Solo ofrezco servicios.,Subsidiado,Moto propia,Bachillerato completo,No afiliado,La recoge el servicio de aseo,No tiene registro,Verbal
52,08/22/2021 12:00:00 AM,56.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,19:00:00.000-05:00,10:00:00.000-05:00,0,0.0,,16:00:00.000-05:00,350000.0,Productos agrícolas,Subsidiado,Camión,Primaria incompleta,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
53,08/22/2021 12:00:00 AM,21.0,Femenino,Ninguno de los anteriores,0,Sin discapacidad,NO,17:00:00.000-05:00,06:00:00.000-05:00,0,0.0,False,07:00:00.000-05:00,80000.0,Solo ofrezco servicios.,No afiliado,Bus/Buseta urbana,Bachillerato completo,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
54,08/22/2021 12:00:00 AM,40.0,Masculino,Afrodescendiente o negro,0,Sin discapacidad,SI,21:00:00.000-05:00,09:00:00.000-05:00,1,0.0,False,20:00:00.000-05:00,500000.0,Productos agrícolas,Subsidiado,Moto propia,Básica completa,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,Verbal
55,08/22/2021 12:00:00 AM,46.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,15:00:00.000-05:00,07:00:00.000-05:00,1,1.0,False,16:00:00.000-05:00,1000000.0,Productos agrícolas,Subsidiado,Taxi Colectivo,Primaria completa,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,Verbal
56,08/22/2021 12:00:00 AM,42.0,Masculino,Afrodescendiente o negro,1,Sin discapacidad,NS/NR,18:00:00.000-05:00,07:40:00.000-05:00,0,0.0,False,18:00:00.000-05:00,0.0,Productos agrícolas,Subsidiado,Bus/Buseta intermunicipal,Básica completa,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
57,08/22/2021 12:00:00 AM,32.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,18:30:00.000-05:00,12:00:00.000-05:00,1,0.0,False,19:30:00.000-05:00,30000.0,Productos agrícolas,Subsidiado,Mototaxi,Técnico o tecnológico,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,Verbal
58,08/22/2021 12:00:00 AM,52.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,17:30:00.000-05:00,08:00:00.000-05:00,0,0.0,False,17:30:00.000-05:00,0.0,Solo ofrezco servicios.,Subsidiado,A pie,Primaria incompleta,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
59,08/22/2021 12:00:00 AM,58.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,20:00:00.000-05:00,10:00:00.000-05:00,0,0.0,False,09:00:00.000-05:00,250000.0,Solo ofrezco servicios.,NS/NR,A pie,Básica completa,No afiliado,La recoge un servicio informal,No tiene registro,NS/NR
60,08/22/2021 12:00:00 AM,28.0,Femenino,Ninguno de los anteriores,0,Sin discapacidad,SI,19:00:00.000-05:00,10:00:00.000-05:00,0,0.0,False,15:00:00.000-05:00,350000.0,Productos agrícolas,Subsidiado,Bus/Buseta intermunicipal,Básica completa,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
61,08/22/2021 12:00:00 AM,52.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,18:00:00.000-05:00,02:00:00.000-05:00,0,0.0,False,19:00:00.000-05:00,350000.0,Productos agrícolas,Subsidiado,Bicicleta,Básica completa,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
62,08/22/2021 12:00:00 AM,59.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,18:00:00.000-05:00,12:00:00.000-05:00,0,0.0,False,17:00:00.000-05:00,1500000.0,Productos agrícolas,Subsidiado,Taxi Colectivo,NS/NR,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
63,08/22/2021 12:00:00 AM,68.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,19:00:00.000-05:00,08:00:00.000-05:00,0,0.0,False,19:00:00.000-05:00,45000.0,Carnes,Subsidiado,Taxi Colectivo,Básica completa,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
64,08/22/2021 12:00:00 AM,27.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,19:00:00.000-05:00,11:00:00.000-05:00,0,0.0,False,,4000.0,Solo ofrezco servicios.,Subsidiado,A pie,Bachillerato completo,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
65,08/22/2021 12:00:00 AM,49.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,14:00:00.000-05:00,08:00:00.000-05:00,0,0.0,False,,3000.0,Solo ofrezco servicios.,Subsidiado,Bus/Buseta intermunicipal,NS/NR,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
66,08/22/2021 12:00:00 AM,39.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,NO,18:00:00.000-05:00,08:00:00.000-05:00,0,0.0,False,,5000.0,Solo ofrezco servicios.,No afiliado,Mototaxi,Primaria incompleta,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
68,08/22/2021 12:00:00 AM,20.0,Femenino,Ninguno de los anteriores,0,Sin discapacidad,SI,19:00:00.000-05:00,08:00:00.000-05:00,0,0.0,False,,4000.0,Solo ofrezco servicios.,Subsidiado,Bus/Buseta intermunicipal,Básica completa,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
69,08/22/2021 12:00:00 AM,47.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,19:00:00.000-05:00,11:00:00.000-05:00,0,0.0,False,,3000.0,Solo ofrezco servicios.,Subsidiado,Mototaxi,Básica completa,Afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
70,08/18/2021 12:00:00 AM,73.0,Femenino,Ninguno de los anteriores,0,Sin discapacidad,NO,07:57:00.000-05:00,05:00:00.000-05:00,0,0.0,False,08:59:00.000-05:00,200000.0,Bebidas,Subsidiado,Mototaxi,Primaria completa,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
75,08/10/2021 12:00:00 AM,41.0,Femenino,Ninguno de los anteriores,0,Sin discapacidad,SI,03:33:00.000-05:00,02:00:00.000-05:00,0,0.0,False,,80000.0,Otro,Subsidiado,Taxi Colectivo,Primaria completa,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
76,08/10/2021 12:00:00 AM,43.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,03:28:00.000-05:00,11:28:00.000-05:00,0,0.0,False,,20000.0,Otro,Subsidiado,Taxi Colectivo,Primaria incompleta,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
77,08/10/2021 12:00:00 AM,34.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,04:00:00.000-05:00,19:30:00.000-05:00,0,0.0,False,03:24:00.000-05:00,200000.0,Solo ofrezco servicios.,Subsidiado,Bus/Buseta urbana,Primaria completa,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
78,08/10/2021 12:00:00 AM,53.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,04:57:00.000-05:00,12:57:00.000-05:00,0,0.0,False,03:58:00.000-05:00,200000.0,Otro,Subsidiado,A pie,Primaria incompleta,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
79,08/10/2021 12:00:00 AM,55.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,SI,05:00:00.000-05:00,10:51:00.000-05:00,0,0.0,False,04:52:00.000-05:00,150.0,Otro,Subsidiado,Bus/Buseta urbana,Primaria incompleta,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
80,08/10/2021 12:00:00 AM,31.0,Masculino,Ninguno de los anteriores,0,Física,NO,04:00:00.000-05:00,11:00:00.000-05:00,0,0.0,False,,100.0,Otro,Subsidiado,A pie,Primaria completa,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
82,08/22/2021 12:00:00 AM,33.0,Masculino,Afrodescendiente o negro,0,Sin discapacidad,SI,17:00:00.000-05:00,10:00:00.000-05:00,0,0.0,False,18:00:00.000-05:00,700000.0,Productos agrícolas,Subsidiado,Jeep Colectivo,Básica completa,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
83,08/22/2021 12:00:00 AM,28.0,Femenino,Ninguno de los anteriores,0,Sin discapacidad,NO,18:00:00.000-05:00,08:00:00.000-05:00,0,0.0,False,09:00:00.000-05:00,120000.0,Solo ofrezco servicios.,No afiliado,Mototaxi,Profesional,No afiliado,La recoge el servicio de aseo,No tiene registro,NS/NR
84,08/22/2021 12:00:00 AM,28.0,Masculino,Ninguno de los anteriores,0,Sin discapacidad,NO,20:00:00.000-05:00,12:00:00.000-05:00,7,3.0,,20:00:00.000-05:00,10000000.0,Productos agrícolas,Contributivo,Taxi,Técnico o tecnológico,No afiliado,La pone en los colectores de basura o canecas,Tiene registro y está actualizado,Verbal
85,08/22/2021 12:00:00 AM,35.0,Masculino,Afrodescendiente o negro,1,Sin discapacidad,SI,20:00:00.000-05:00,03:00:00.000-05:00,0,0.0,False,20:00:00.000-05:00,0.0,Solo ofrezco servicios.,Subsidiado,Taxi Colectivo,Bachillerato completo,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
86,08/22/2021 12:00:00 AM,50.0,Masculino,Afrodescendiente o negro,0,Sin discapacidad,SI,18:00:00.000-05:00,05:00:00.000-05:00,0,0.0,False,18:00:00.000-05:00,0.0,Solo ofrezco servicios.,Subsidiado,Bus/Buseta urbana,Primaria completa,No afiliado,La pone en los colectores de basura o canecas,No tiene registro,NS/NR
