_index,fecha,¿Cuántos años cumplidos tiene?,Cuál es su género?,Grupo étnico,Víctima del conflicto,RUV,Tipo de discapacidad,¿Cuenta con SISBEN?,¿Cuál es el parentesco suyo con el jefe o jefa del hogar en su vivienda?,¿Dónde queda ubicada su vivienda?,¿En qué barrio vive?,Escriba el nombre del barrio que NO se encuentra en la lista...180,¿En qué corregimiento o vereda reside?,¿En qué departamento queda ubicado el municipio?,Seleccione un municipio de: Bolívar...,Hora de Apertura del Comercio,Hora Cierre del Comercio,¿Cuántos trabajadores tiene?,¿Cuántos trabajadores extranjeros tiene?,"En su mayoría, ¿qué tipo de contrato tienen sus trabajadores?","En su mayoría, ¿los contratos de trabajo son a término indefinido o a término fijo?",¿Tiene registro ante la Cámara de Comercio?,¿Su registro ante la Cámara de Comercio está actualizado a 2021?,¿Cuál es la Actividad Económica Principal (Código CIIU) que aparece en su Cámara de Comercio?,¿Tiene registro ante la DIAN (RUT)?,"Otro, ¿cuál?...","Se dedica usted al comercio al por mayor, al comercio al por menor o ambos","En un día promedio, ¿cuánto invierte en mercancía?...",Tipo de producto/servicio,País,Municipio,Departamento,Eres_Cartagenero,motivo_de_cambio,Afiliación a EPS,Medio de transporte,Nivel de escolaridad,seguridad social sin salud,Manejo de basuras
10,08/22/2021 12:00:00 AM,54,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Bicentenario,Bicentenario,NS/NR,NS/NR,NS/NR,21:00:00.000-05:00,13:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por mayor,500000.0,Productos agrícolas,NS/NR,NS/NR,Bolívar,"No, nací en otro municipio",NS/NR,Subsidiado,No se desplaza,Primaria completa,No afiliado,La recoge el servicio de aseo
11,08/22/2021 12:00:00 AM,29,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Bicentenario,Bicentenario,NS/NR,NS/NR,NS/NR,16:00:00.000-05:00,08:00:00.000-05:00,1,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Ambos,500000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Bachiller,No afiliado,La recoge el servicio de aseo
12,08/22/2021 12:00:00 AM,29,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Bicentenario,Bicentenario,NS/NR,NS/NR,NS/NR,NS/NR,08:00:00.000-05:00,4,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Ambos,800000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Taxi Colectivo,Bachiller,No afiliado,La recoge el servicio de aseo
13,08/22/2021 12:00:00 AM,51,Masculino,Ninguno de los anteriores,1,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Bicentenario,Bicentenario,NS/NR,NS/NR,NS/NR,19:07:00.000-05:00,07:00:00.000-05:00,2,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Ambos,4000000.0,Productos agrícolas,NS/NR,NS/NR,Bolívar,"No, nací en otro municipio",NS/NR,Subsidiado,Mototaxi,Primaria completa,No afiliado,La recoge el servicio de aseo
14,08/22/2021 12:00:00 AM,21,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,"Hijo(a), hijastro(a)",En la zona urbana de Cartagena,Bicentenario,Bicentenario,NS/NR,NS/NR,NS/NR,20:00:00.000-05:00,11:00:00.000-05:00,1,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por mayor,800000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,A pie,Técnico o tecnológico,No afiliado,La recoge el servicio de aseo
15,08/22/2021 12:00:00 AM,30,Masculino,Ninguno de los anteriores,1,SI,Sin discapacidad,SI,"Hijo(a), hijastro(a)",En la zona rural de Cartagena,Bicentenario,Bicentenario,Bayunca,NS/NR,NS/NR,18:00:00.000-05:00,08:00:00.000-05:00,1,0.0,Verbal,Sin información,NS/NR,SI,4721.0,NS/NR,NS/NR,Comercio al por mayor,6000000.0,Productos agrícolas,NS/NR,NS/NR,Córdoba,"No, nací en otro municipio",NS/NR,Contributivo,Bus/Buseta intermunicipal,Bachiller,Afiliado,La recoge el servicio de aseo
16,08/22/2021 12:00:00 AM,66,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Bicentenario,Bicentenario,NS/NR,NS/NR,NS/NR,20:00:00.000-05:00,08:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por mayor,420000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,A pie,NS/NR,No afiliado,La recoge el servicio de aseo
17,08/22/2021 12:00:00 AM,25,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Bicentenario,Bicentenario,NS/NR,NS/NR,NS/NR,18:00:00.000-05:00,12:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,15000.0,Bebidas preparadas,Venezuela,NS/NR,NS/NR,"No, nací en otro país",NS/NR,No afiliado,Mototaxi,Universitario,No afiliado,La recoge el servicio de aseo
18,08/22/2021 12:00:00 AM,51,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Calle nueva el espinal,Calle nueva el espinal,NS/NR,NS/NR,NS/NR,18:00:00.000-05:00,07:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,15000.0,Ninguno de los anteriores,NS/NR,NS/NR,Valle del Cauca,"No, nací en otro municipio",NS/NR,No afiliado,Mototaxi,Primaria incompleta,No afiliado,La recoge el servicio de aseo
19,08/22/2021 12:00:00 AM,49,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Cerezos,Cerezos,NS/NR,NS/NR,NS/NR,16:00:00.000-05:00,07:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,1200000.0,Ninguno de los anteriores,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Técnico o tecnológico,No afiliado,La recoge el servicio de aseo
20,08/22/2021 12:00:00 AM,44,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Chapacua,Chapacua,NS/NR,NS/NR,NS/NR,18:00:00.000-05:00,10:00:00.000-05:00,2,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,1000000.0,Productos agrícolas,NS/NR,NS/NR,NS/NR,"No, nací en otro municipio",NS/NR,Subsidiado,Automóvil propio,Básica completa,No afiliado,La recoge el servicio de aseo
21,08/22/2021 12:00:00 AM,69,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Chapacua,Chapacua,NS/NR,NS/NR,NS/NR,17:00:00.000-05:00,08:00:00.000-05:00,2,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,1000000.0,Ninguno de los anteriores,Colombia,Cartagena,Bolívar,Sí,NS/NR,No afiliado,Mototaxi,Primaria completa,No afiliado,La recoge el servicio de aseo
22,08/22/2021 12:00:00 AM,52,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Chapacua,Chapacua,NS/NR,NS/NR,NS/NR,03:30:00.000-05:00,04:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,50000.0,Ninguno de los anteriores,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Primaria incompleta,No afiliado,La recoge el servicio de aseo
24,08/22/2021 12:00:00 AM,22,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,"Hijo(a), hijastro(a)",En la zona urbana de Cartagena,Bicentenario,Ciudad de bicentenario,NS/NR,NS/NR,NS/NR,19:00:00.000-05:00,07:00:00.000-05:00,2,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,1300000.0,Ninguno de los anteriores,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Moto propia,Técnico o tecnológico,No afiliado,La recoge el servicio de aseo
25,08/22/2021 12:00:00 AM,47,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Ciudad Jardín,Ciudad Jardín,NS/NR,NS/NR,NS/NR,16:00:00.000-05:00,05:00:00.000-05:00,1,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,70000.0,Ninguno de los anteriores,Colombia,Cartagena,Bolívar,Sí,NS/NR,No afiliado,Bus/Buseta urbana,Básica completa,No afiliado,La recoge el servicio de aseo
26,08/22/2021 12:00:00 AM,37,Masculino,Afrodescendiente o negro,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Ciudadela 2000,Ciudadela 2000,NS/NR,NS/NR,NS/NR,19:00:00.000-05:00,07:00:00.000-05:00,2,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por mayor,400000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Básica completa,No afiliado,La recoge el servicio de aseo
27,08/22/2021 12:00:00 AM,37,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona rural de Cartagena,Ciudadela 2000,Ciudadela 2000,Bayunca,NS/NR,NS/NR,16:00:00.000-05:00,07:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Ambos,250000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Bus/Buseta intermunicipal,Primaria incompleta,No afiliado,La regala para los animales
28,08/22/2021 12:00:00 AM,47,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona rural de Cartagena,Ciudadela 2000,Ciudadela 2000,Arjona,NS/NR,NS/NR,15:00:00.000-05:00,10:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Ambos,1800000.0,Productos agrícolas,NS/NR,NS/NR,Sucre,"No, nací en otro municipio",NS/NR,Subsidiado,Bus/Buseta intermunicipal,Primaria incompleta,No afiliado,La recoge el servicio de aseo
29,08/22/2021 12:00:00 AM,39,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Ciudadela 2000,Ciudadela 2000,NS/NR,NS/NR,NS/NR,16:30:00.000-05:00,02:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por mayor,150000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Taxi Colectivo,Básica completa,No afiliado,La regala
30,08/22/2021 12:00:00 AM,50,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Ciudadela 2000,Ciudadela 2000,NS/NR,NS/NR,NS/NR,19:00:00.000-05:00,08:00:00.000-05:00,3,0.0,Verbal,Sin información,NS/NR,NO,NS/NR,NS/NR,NS/NR,Ambos,4000000.0,Productos agrícolas,NS/NR,NS/NR,Norte de Santander,"No, nací en otro municipio",NS/NR,Contributivo,Automóvil propio,Bachiller,No afiliado,La recoge el servicio de aseo
67,08/22/2021 12:00:00 AM,38,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona rural de Cartagena,Paseo de bolivar,Paseo de bolivar,Bayunca,NS/NR,NS/NR,16:00:00.000-05:00,05:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Acarreo de productos,NS/NR,4000.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Bus/Buseta intermunicipal,Primaria completa,No afiliado,La pone en los colectores de basura o canecas
31,08/22/2021 12:00:00 AM,38,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Ciudadela flor del campo,Ciudadela flor del campo,NS/NR,NS/NR,NS/NR,14:00:00.000-05:00,10:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Ambos,850000.0,Productos agrícolas,NS/NR,NS/NR,Sucre,"No, nací en otro municipio",NS/NR,Subsidiado,Mototaxi,NS/NR,No afiliado,La pone en los colectores de basura o canecas
32,08/22/2021 12:00:00 AM,45,Masculino,Indígena,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Clemencia,Clemencia,NS/NR,NS/NR,NS/NR,18:00:00.000-05:00,09:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,250000.0,Ninguno de los anteriores,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,A pie,Primaria completa,No afiliado,La pone en los colectores de basura o canecas
33,08/22/2021 12:00:00 AM,65,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Clemencia,Clemencia,NS/NR,NS/NR,NS/NR,10:00:00.000-05:00,07:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Servicio de carretilla,NS/NR,5000.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Taxi Colectivo,Primaria incompleta,No afiliado,La pone en los colectores de basura o canecas
34,08/22/2021 12:00:00 AM,59,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Clemencia,Clemencia,NS/NR,NS/NR,NS/NR,18:00:00.000-05:00,07:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Servicio de carretilla,NS/NR,4000.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Bus/Buseta urbana,Primaria incompleta,No afiliado,La pone en los colectores de basura o canecas
35,08/22/2021 12:00:00 AM,27,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Colombiaton,Colombiaton,NS/NR,NS/NR,NS/NR,16:30:00.000-05:00,07:02:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Ambos,300000.0,Productos agrícolas,Venezuela,NS/NR,NS/NR,"No, nací en otro país",NS/NR,No afiliado,Bus/Buseta urbana,Bachiller,No afiliado,La recoge el servicio de aseo
36,08/22/2021 12:00:00 AM,27,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Colombiaton,Colombiaton,NS/NR,NS/NR,NS/NR,19:00:00.000-05:00,08:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Servicio de carretilla,NS/NR,0.0,Solo ofrezco servicios.,Venezuela,NS/NR,NS/NR,"No, nací en otro país",NS/NR,No afiliado,Mototaxi,Primaria completa,No afiliado,La pone en los colectores de basura o canecas
37,08/22/2021 12:00:00 AM,32,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Colombiaton,Colombiaton,NS/NR,NS/NR,NS/NR,16:00:00.000-05:00,07:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por mayor,1400000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Básica completa,No afiliado,La recoge el servicio de aseo
990,07/30/2021 12:00:00 AM,48,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,El Prado,NS/NR,NS/NR,NS/NR,NS/NR,05:29:00.000-05:00,07:29:00.000-05:00,4,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,300.0,Otro,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Taxi Colectivo,Bachiller,No afiliado,La recoge el servicio de aseo
38,08/22/2021 12:00:00 AM,19,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,"Hijo(a), hijastro(a)",En la zona urbana de Cartagena,Colombiaton,Colombiaton,NS/NR,NS/NR,NS/NR,19:00:00.000-05:00,06:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por mayor,400000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Moto propia,Bachiller,No afiliado,La recoge el servicio de aseo
39,08/22/2021 12:00:00 AM,35,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Colombiatón,Colombiatón,NS/NR,NS/NR,NS/NR,17:00:00.000-05:00,06:34:00.000-05:00,2,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por mayor,5000000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Bus/Buseta urbana,Básica completa,No afiliado,La recoge el servicio de aseo
40,08/22/2021 12:00:00 AM,25,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Contadora,Contadora,NS/NR,NS/NR,NS/NR,18:00:00.000-05:00,09:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,200000.0,Solo ofrezco servicios.,Venezuela,NS/NR,NS/NR,"No, nací en otro país",NS/NR,Subsidiado,A pie,Bachiller,No afiliado,La recoge el servicio de aseo
41,08/22/2021 12:00:00 AM,48,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Dos de noviembre,Dos de noviembre,NS/NR,NS/NR,NS/NR,20:00:00.000-05:00,11:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por mayor,2000000.0,Productos agrícolas,NS/NR,NS/NR,Norte de Santander,"No, nací en otro municipio",NS/NR,Contributivo,Taxi Colectivo,Técnico o tecnológico,No afiliado,La recoge el servicio de aseo
43,08/22/2021 12:00:00 AM,40,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,El cai de la arrocera,NS/NR,NS/NR,NS/NR,18:00:00.000-05:00,09:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Ambos,800000.0,Productos agrícolas,NS/NR,NS/NR,Bolívar,"No, nací en otro municipio",NS/NR,Subsidiado,Taxi Colectivo,Bachillerato completo,No afiliado,La recoge el servicio de aseo
44,08/22/2021 12:00:00 AM,50,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona rural de Cartagena,Flor del campo,Flor del campo,Santa rosa,NS/NR,NS/NR,23:00:00.000-05:00,10:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,240000.0,Productos agrícolas,NS/NR,NS/NR,Bolívar,"No, nací en otro municipio",Trabajo,Subsidiado,Bus/Buseta intermunicipal,Primaria incompleta,No afiliado,La recoge el servicio de aseo
